time,prey,predator,prey_noisy,predator_noisy
21.321321,0.258490,15.364365,0.173857,15.265218
21.421421,0.157791,14.791447,0.100513,14.422998
21.521522,0.098538,14.228777,0.273820,14.037305
21.621622,0.062919,13.681161,0.156982,13.429579
21.721722,0.041052,13.150916,0.274830,12.838314
21.821822,0.027349,12.639016,0.100000,12.472923
21.921922,0.018591,12.145701,0.100000,12.329800
22.022022,0.012885,11.670809,0.100000,11.664635
22.122122,0.009098,11.213960,0.100000,11.393282
22.222222,0.006540,10.774658,0.100000,10.831763
22.322322,0.004784,10.352344,0.100000,10.461079
22.422422,0.003557,9.946436,0.100000,9.821259
22.522523,0.002688,9.556345,0.100000,9.629147
22.622623,0.002062,9.181484,0.442118,9.282738
22.722723,0.001606,8.821281,0.329679,8.741157
22.822823,0.001268,8.475175,0.100000,8.552922
22.922923,0.001015,8.142625,0.100000,8.221296
23.023023,0.000823,7.823107,0.100000,7.746748
23.123123,0.000676,7.516114,0.100000,7.360107
23.223223,0.000562,7.221158,0.100000,7.056626
23.323323,0.000472,6.937770,0.211256,6.949790
23.423423,0.000402,6.665499,0.100000,6.710936
23.523524,0.000345,6.403908,0.100000,6.293788
23.623624,0.000300,6.152581,0.100000,6.156275
23.723724,0.000263,5.911115,0.100000,5.990390
23.823824,0.000233,5.679123,0.100000,5.765019
23.923924,0.000208,5.456235,0.100000,5.671866
24.024024,0.000187,5.242094,0.100000,5.419527
24.124124,0.000170,5.036355,0.100000,4.897228
24.224224,0.000156,4.838691,0.100000,5.072622
24.324324,0.000144,4.648784,0.100000,4.575006
24.424424,0.000134,4.466330,0.372328,4.611513
24.524525,0.000126,4.291037,0.100000,4.300483
24.624625,0.000118,4.122623,0.100000,4.065355
24.724725,0.000112,3.960818,0.321206,3.709643
24.824825,0.000107,3.805364,0.507915,3.781526
24.924925,0.000103,3.656011,0.100000,3.439338
25.025025,0.000100,3.512520,0.100000,3.646924
25.125125,0.000097,3.374660,0.100000,3.585415
25.225225,0.000095,3.242211,0.302272,3.131482
25.325325,0.000093,3.114960,0.100000,3.156919
25.425425,0.000092,2.992704,0.100000,2.891913
25.525526,0.000092,2.875246,0.135971,2.787919
25.625626,0.000091,2.762398,0.100000,2.870012
25.725726,0.000092,2.653979,0.100000,2.648624
25.825826,0.000092,2.549815,0.100000,2.791536
25.925926,0.000093,2.449740,0.100000,2.382734
26.026026,0.000094,2.353592,0.100000,2.492448
26.126126,0.000096,2.261218,0.100000,2.274753
26.226226,0.000098,2.172469,0.100000,2.283041
26.326326,0.000101,2.087204,0.100000,2.025073
26.426426,0.000103,2.005285,0.100000,1.998399
26.526527,0.000107,1.926582,0.177130,1.910534
26.626627,0.000110,1.850968,0.100000,1.734799
26.726727,0.000115,1.778321,0.100000,1.870316
26.826827,0.000119,1.708525,0.100000,1.798876
26.926927,0.000125,1.641470,0.100000,1.723943
27.027027,0.000130,1.577045,0.100000,1.790604
27.127127,0.000137,1.515150,0.100000,1.716533
27.227227,0.000144,1.455684,0.100000,1.403586
27.327327,0.000152,1.398552,0.366039,1.450387
27.427427,0.000160,1.343662,0.275184,1.257014
27.527528,0.000170,1.290927,0.100000,1.294172
27.627628,0.000180,1.240261,0.100000,1.156927
27.727728,0.000192,1.191584,0.100000,1.416690
27.827828,0.000204,1.144818,0.208417,1.195353
27.927928,0.000218,1.099888,0.100000,1.069593
28.028028,0.000233,1.056720,0.100000,1.222571
28.128128,0.000250,1.015248,0.100000,0.713645
28.228228,0.000268,0.975403,0.162385,0.695547
28.328328,0.000288,0.937122,0.100000,1.047702
28.428428,0.000310,0.900343,0.100000,0.908745
28.528529,0.000334,0.865008,0.100000,0.899807
28.628629,0.000360,0.831061,0.100000,0.646761
28.728729,0.000389,0.798445,0.100000,0.795217
28.828829,0.000421,0.767110,0.100000,1.045493
28.928929,0.000456,0.737005,0.100000,0.851526
29.029029,0.000495,0.708082,0.100000,0.731662
29.129129,0.000537,0.680294,0.100000,0.619288
29.229229,0.000584,0.653596,0.257802,0.598771
29.329329,0.000636,0.627947,0.100000,0.332100
29.429429,0.000692,0.603305,0.100000,0.639104
29.529530,0.000755,0.579630,0.100000,0.697108
29.629630,0.000824,0.556884,0.100000,0.337956
29.729730,0.000900,0.535032,0.100000,0.443129
29.829830,0.000983,0.514037,0.100000,0.353210
29.929930,0.001076,0.493867,0.100000,0.359733
30.030030,0.001178,0.474488,0.303120,0.481920
30.130130,0.001291,0.455871,0.100000,0.166248
30.230230,0.001416,0.437984,0.152413,0.523336
30.330330,0.001554,0.420800,0.100000,0.525547
30.430430,0.001706,0.404291,0.100000,0.369401
30.530531,0.001875,0.388430,0.100000,0.100000
30.630631,0.002061,0.373191,0.100000,0.234741
30.730731,0.002268,0.358552,0.229516,0.529861
30.830831,0.002496,0.344487,0.104345,0.100000
30.930931,0.002749,0.330975,0.305558,0.282688
31.031031,0.003030,0.317994,0.208842,0.154035
31.131131,0.003341,0.305523,0.100000,0.417316
31.231231,0.003685,0.293542,0.308526,0.199736
31.331331,0.004067,0.282031,0.100000,0.338160
31.431431,0.004490,0.270973,0.149223,0.349543
31.531532,0.004960,0.260350,0.100000,0.515490
31.631632,0.005481,0.250145,0.100000,0.221946
31.731732,0.006059,0.240341,0.100000,0.292591
31.831832,0.006701,0.230922,0.179681,0.100000
31.931932,0.007413,0.221874,0.100000,0.387280
32.032032,0.008204,0.213183,0.144960,0.107512
32.132132,0.009083,0.204833,0.100000,0.126918
32.232232,0.010059,0.196813,0.214794,0.193721
32.332332,0.011144,0.189108,0.142396,0.100000
32.432432,0.012349,0.181707,0.330599,0.213494
32.532533,0.013688,0.174598,0.141428,0.309025
32.632633,0.015177,0.167769,0.100000,0.208472
32.732733,0.016832,0.161210,0.100000,0.100000
32.832833,0.018673,0.154910,0.100000,0.137707
32.932933,0.020720,0.148860,0.100000,0.251963
33.033033,0.022998,0.143048,0.287161,0.100000
33.133133,0.025531,0.137467,0.136972,0.100000
33.233233,0.028349,0.132107,0.100000,0.253901
33.333333,0.031485,0.126960,0.100000,0.164489
33.433433,0.034976,0.122018,0.100000,0.179260
33.533534,0.038860,0.117272,0.100000,0.375645
33.633634,0.043184,0.112715,0.100000,0.177820
33.733734,0.047998,0.108341,0.102537,0.199753
33.833834,0.053358,0.104141,0.255307,0.480794
33.933934,0.059325,0.100110,0.165737,0.100000
34.034034,0.065971,0.096241,0.100000,0.100000
34.134134,0.073372,0.092528,0.126576,0.151970
34.234234,0.081616,0.088966,0.100000,0.149962
34.334334,0.090799,0.085548,0.163147,0.100000
34.434434,0.101028,0.082269,0.383542,0.100000
34.534535,0.112424,0.079124,0.100000,0.400072
34.634635,0.125120,0.076109,0.100000,0.121523
34.734735,0.139268,0.073218,0.242558,0.100000
34.834835,0.155032,0.070448,0.100000,0.197715
34.934935,0.172600,0.067794,0.430596,0.100000
35.035035,0.192178,0.065252,0.256567,0.100000
35.135135,0.213998,0.062819,0.361982,0.140945
35.235235,0.238319,0.060490,0.138518,0.100000
35.335335,0.265428,0.058262,0.407674,0.107259
35.435435,0.295646,0.056133,0.482415,0.321934
35.535536,0.329332,0.054098,0.370039,0.118873
35.635636,0.366885,0.052156,0.407859,0.100000
35.735736,0.408752,0.050304,0.456008,0.100000
35.835836,0.455429,0.048539,0.304516,0.100000
35.935936,0.507472,0.046859,0.481683,0.100000
36.036036,0.565498,0.045262,0.538837,0.100000
36.136136,0.630199,0.043746,0.697216,0.171066
36.236236,0.702344,0.042310,0.877113,0.100000
36.336336,0.782791,0.040952,0.597759,0.160725
36.436436,0.872500,0.039672,0.850648,0.100000
36.536537,0.972537,0.038468,1.231497,0.100000
36.636637,1.084095,0.037340,0.954116,0.100000
36.736737,1.208503,0.036288,1.064773,0.220899
36.836837,1.347241,0.035313,1.382605,0.208391
36.936937,1.501964,0.034413,1.649563,0.167746
37.037037,1.674513,0.033592,1.676510,0.100000
37.137137,1.866944,0.032850,2.099247,0.148055
37.237237,2.081546,0.032190,2.231314,0.100000
37.337337,2.320874,0.031615,2.468025,0.100000
37.437437,2.587775,0.031129,2.684634,0.100000
37.537538,2.885419,0.030737,3.292294,0.100000
37.637638,3.217343,0.030445,3.181480,0.107711
37.737738,3.587483,0.030263,3.237266,0.100000
37.837838,4.000226,0.030199,4.280651,0.100000
37.937938,4.460456,0.030268,4.380450,0.235023
38.038038,4.973607,0.030484,4.992465,0.200839
